"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","season"
"SP1","11/04/10","Ath Bilbao","Almeria",4,1,"H",2,0,"H",25,11,11,5,10,17,9,3,1,0,0,0,1.8,3.5,4.5,1.75,3.55,4.4,1.75,3.5,4.6,1.67,3.3,4.5,"09/10"
"SP1","10/04/10","Xerez","Getafe",0,1,"A",0,0,"D",14,9,4,2,23,14,12,3,3,2,0,1,2.8,3.25,2.5,2.7,3.3,2.45,2.8,3.3,2.4,2.5,3.25,2.4,"09/10"
"SP1","10/04/10","Villarreal","Sp Gijon",1,0,"H",1,0,"H",16,3,8,1,10,15,9,4,0,1,0,0,1.5,4,7,1.5,3.85,6.5,1.45,4,7,1.5,3.5,6,"09/10"
"SP1","10/04/10","Tenerife","Valladolid",0,0,"D",0,0,"D",18,5,4,0,13,22,9,6,2,3,0,0,2,3.4,3.75,1.95,3.4,3.65,2,3.3,3.6,1.91,3.2,3.5,"09/10"
"SP1","10/04/10","Real Madrid","Barcelona",0,2,"A",0,1,"A",16,8,7,4,30,15,4,7,4,4,0,0,2.5,3.4,2.7,2.45,3.7,2.7,2.4,3.5,2.65,2.25,3.2,2.75,"09/10"
"SP1","10/04/10","Malaga","Sevilla",1,2,"A",1,0,"H",10,11,4,7,29,14,3,4,3,5,0,0,3.25,3.25,2.25,3.25,3.5,2.2,3.1,3.3,2.2,3,3.2,2.1,"09/10"
"SP1","04/04/10","Valladolid","Villarreal",0,2,"A",0,1,"A",15,12,5,7,15,14,6,4,3,4,0,0,2.88,3.3,2.4,2.95,3.25,2.3,2.85,3.2,2.4,2.6,3.2,2.38,"09/10"
"SP1","04/04/10","Valencia","Osasuna",3,0,"H",0,0,"D",18,14,7,5,14,20,7,3,0,2,0,0,1.62,3.75,5.5,1.55,3.65,6.25,1.55,3.7,6,1.57,3.5,5,"09/10"
"SP1","04/04/10","Sp Gijon","Xerez",2,2,"D",1,0,"H",15,12,7,4,18,18,3,4,1,0,0,0,1.73,3.5,5,1.75,3.5,4.5,1.8,3.4,4.3,1.67,3.3,4.5,"09/10"
"SP1","04/04/10","Santander","Real Madrid",0,2,"A",0,1,"A",5,16,2,4,27,12,1,9,4,1,0,0,9.5,5.25,1.3,9,5,1.3,9,4.6,1.33,8,5,1.25,"09/10"
"SP1","04/04/10","Getafe","Espanol",1,1,"D",1,0,"H",17,10,2,3,10,15,8,7,3,4,0,0,1.8,3.5,4.5,1.8,3.5,4.2,1.85,3.4,4,1.8,3.3,3.75,"09/10"
"SP1","04/04/10","Ath Madrid","La Coruna",3,0,"H",1,0,"H",18,6,10,2,15,8,6,3,2,0,0,0,1.83,3.5,4.33,1.8,3.45,4.25,1.8,3.4,4.3,1.8,3.3,3.75,"09/10"
"SP1","04/04/10","Almeria","Mallorca",1,1,"D",1,0,"H",16,17,6,8,14,16,7,4,1,2,0,0,2.4,3.3,2.88,2.45,3.25,2.75,2.45,3.1,2.9,2.38,3.2,2.6,"09/10"
