"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","season"
"I1","19/02/17","Udinese","Sassuolo",1,2,"A",1,0,"H",10,14,5,6,8,10,7,8,3,2,0,0,2.1,3.3,3.7,2.1,3.3,3.4,2,3.3,3.6,2.15,3.2,3.5,"16/17"
"I1","25/02/17","Juventus","Empoli",2,0,"H",0,0,"D",24,6,6,1,12,11,3,1,0,1,0,0,1.14,8.5,19,1.14,8.5,19,1.15,7,15,1.15,7.5,23,"16/17"
"I1","25/02/17","Napoli","Atalanta",0,2,"A",0,1,"A",20,8,8,5,8,10,7,10,1,1,0,1,1.57,4,6,1.55,4.1,6.25,1.5,4,6.1,1.57,4,5.75,"16/17"
"I1","26/02/17","Chievo","Pescara",2,0,"H",1,0,"H",20,13,8,3,12,16,6,6,3,3,0,0,1.83,3.6,4.5,1.83,3.8,4.1,1.7,3.7,4.5,1.83,3.6,4.2,"16/17"
"I1","26/02/17","Crotone","Cagliari",1,2,"A",1,1,"D",19,7,1,2,14,11,6,1,3,1,0,0,2.5,3.3,2.88,2.45,3.25,2.95,2.6,3.2,2.6,2.4,3.2,2.9,"16/17"
"I1","26/02/17","Genoa","Bologna",1,1,"D",0,0,"D",20,13,6,4,15,6,6,2,1,1,0,1,2,3.3,4.2,2.05,3.4,3.75,2.2,3,3.4,1.95,3.2,4,"16/17"
"I1","26/02/17","Inter","Roma",1,3,"A",0,1,"A",13,12,3,5,12,22,10,2,2,2,0,0,2.5,3.4,2.8,2.65,3.2,2.8,2.5,3.3,2.65,2.4,3.3,2.8,"16/17"
"I1","26/02/17","Lazio","Udinese",1,0,"H",0,0,"D",8,13,2,3,13,17,5,6,2,3,0,0,1.44,4.5,7.5,1.42,4.75,7.5,1.5,4,6.1,1.44,4.33,7.5,"16/17"
"I1","26/02/17","Palermo","Sampdoria",1,1,"D",1,0,"H",16,11,6,3,11,15,7,5,2,2,0,0,3.2,3.1,2.4,3,3.4,2.35,2.75,3.3,2.4,3.1,3.2,2.3,"16/17"
"I1","26/02/17","Sassuolo","Milan",0,1,"A",0,1,"A",12,13,5,6,20,17,14,8,6,3,0,0,2.88,3.3,2.55,2.75,3.3,2.6,3.1,3.3,2.2,2.75,3.3,2.5,"16/17"
"I1","27/02/17","Fiorentina","Torino",2,2,"D",2,0,"H",19,13,7,5,17,11,9,6,1,2,0,0,1.85,3.75,4.2,1.85,3.7,4.1,1.9,3.45,3.8,1.85,3.6,4,"16/17"
"I1","04/03/17","Milan","Chievo",3,1,"H",1,1,"D",22,9,6,3,17,15,11,7,2,1,0,0,1.57,4,6.25,1.6,3.8,6.25,1.6,3.7,5.4,1.62,3.8,5.75,"16/17"
"I1","04/03/17","Roma","Napoli",1,2,"A",0,1,"A",22,13,4,4,11,12,6,6,3,2,0,0,2.05,3.5,3.6,2,3.7,3.6,2,3.3,3.6,2.05,3.6,3.4,"16/17"
"I1","04/03/17","Sampdoria","Pescara",3,1,"H",1,1,"D",19,11,7,4,18,12,7,2,0,2,0,0,1.67,4.2,4.75,1.62,4.25,5,1.6,4,4.8,1.65,4,4.75,"16/17"
"I1","05/03/17","Atalanta","Fiorentina",0,0,"D",0,0,"D",16,9,4,2,18,15,9,5,2,4,0,0,1.91,3.6,4,1.91,3.5,4.1,2,3.3,3.6,1.91,3.6,3.8,"16/17"
"I1","05/03/17","Bologna","Lazio",0,2,"A",0,1,"A",9,13,3,6,9,19,1,6,2,1,0,0,4.33,3.75,1.8,4.5,3.7,1.8,4.5,3.5,1.75,4.5,3.5,1.8,"16/17"
"I1","05/03/17","Cagliari","Inter",1,5,"A",1,2,"A",7,22,4,10,10,13,6,11,2,0,0,0,6,4,1.57,6,4,1.57,4.8,3.8,1.65,5.25,4,1.6,"16/17"
"I1","05/03/17","Crotone","Sassuolo",0,0,"D",0,0,"D",16,9,1,1,15,11,8,9,3,1,0,0,3.4,3.25,2.25,3.25,3.4,2.15,3.1,3.3,2.2,3.3,3.3,2.2,"16/17"
"I1","05/03/17","Empoli","Genoa",0,2,"A",0,0,"D",7,8,2,4,7,23,3,1,3,2,0,0,2.63,3,3,2.65,3.2,2.8,2.4,3,3,2.62,3,2.88,"16/17"
"I1","05/03/17","Torino","Palermo",3,1,"H",0,1,"A",25,7,6,3,14,12,10,1,0,2,0,1,1.5,4.2,7,1.45,4.5,7.25,1.45,4,7,1.5,4.33,6,"16/17"
"I1","05/03/17","Udinese","Juventus",1,1,"D",1,0,"H",10,9,5,3,17,20,3,7,2,2,0,0,7.5,4,1.5,7.25,4.25,1.48,6.1,4,1.5,7,4,1.5,"16/17"
"I1","10/03/17","Juventus","Milan",2,1,"H",1,1,"D",24,6,11,2,8,21,10,2,3,4,0,1,1.4,4.5,9,1.42,4.75,8.5,1.5,4,6.1,1.4,4.33,8,"16/17"
"I1","11/03/17","Genoa","Sampdoria",0,1,"A",0,0,"D",7,13,3,4,16,6,5,2,4,4,0,0,2.63,3.2,2.8,2.6,3.2,2.8,2.65,3.1,2.65,2.5,3.25,2.75,"16/17"
"I1","12/03/17","Chievo","Empoli",4,0,"H",2,0,"H",13,12,9,4,16,18,2,6,0,1,0,0,2.05,3.25,4,2.05,3.3,3.9,2,3.3,3.6,2,3.1,4,"16/17"
"I1","12/03/17","Fiorentina","Cagliari",1,0,"H",0,0,"D",26,12,9,5,8,8,8,3,2,1,0,0,1.44,4.75,7,1.45,4.4,7.25,1.5,4,6.1,1.4,4.5,7.5,"16/17"
"I1","12/03/17","Inter","Atalanta",7,1,"H",5,1,"H",12,10,8,3,19,16,6,7,3,4,0,0,1.85,3.6,4.5,1.83,3.5,4.6,1.85,3.45,4,1.85,3.5,4.2,"16/17"
"I1","12/03/17","Napoli","Crotone",3,0,"H",1,0,"H",15,6,6,2,10,10,10,2,1,3,0,0,1.14,8,21,1.15,8,19,1.12,8,16,1.14,8,21,"16/17"
"I1","12/03/17","Palermo","Roma",0,3,"A",0,1,"A",9,15,3,5,12,12,5,4,2,3,0,0,8,4.75,1.4,8,4.75,1.4,7.2,4.5,1.4,7.5,4.5,1.4,"16/17"
